time,header_stamp_secs,header_stamp_nsecs,header_frame_id,code,modifiers
2024/12/16 19:12:21.638202426,1734343941,638035631,,105,4096
2024/12/16 19:13:01.339262920,1734343981,339161673,,27,4096
2024/12/16 19:13:02.19271447,1734343982,19179544,,106,4096
2024/12/16 19:13:02.639259864,1734343982,639143394,,49,4096
2024/12/16 19:13:03.439344154,1734343983,439206679,,49,4096
2024/12/16 19:13:11.539308002,1734343991,539271892,,119,4096
2024/12/16 19:13:12.679597426,1734343992,679458081,,13,4096
2024/12/16 19:13:17.419656659,1734343997,419601176,,57,4096
2024/12/16 19:13:25.959861379,1734344005,959739447,,115,4096
2024/12/16 19:13:26.839811387,1734344006,839709506,,13,4096
2024/12/16 19:13:45.580429400,1734344025,580269191,,27,4096
2024/12/16 19:13:46.520338497,1734344026,520180753,,53,4096
2024/12/16 19:13:47.300182561,1734344027,300143929,,119,4096
2024/12/16 19:13:48.40312177,1734344028,40199760,,115,4096
2024/12/16 19:13:48.800449798,1734344028,800340729,,27,4096
2024/12/16 19:13:49.360575976,1734344029,360390169,,106,4096
2024/12/16 19:13:49.760369901,1734344029,760253952,,53,4096
2024/12/16 19:13:50.620451141,1734344030,620350126,,119,4096
2024/12/16 19:13:58.760493012,1734344038,760436577,,115,4096
2024/12/16 19:14:04.840875952,1734344044,840733464,,53,4096
2024/12/16 19:14:05.740880161,1734344045,740749976,,119,4096
2024/12/16 19:14:13.481083870,1734344053,480947463,,115,4096
2024/12/16 19:14:14.281169086,1734344054,280932128,,51,4096
2024/12/16 19:14:14.641075578,1734344054,640926622,,115,4096
2024/12/16 19:14:19.1102946,1734344059,1011811,,119,4096
2024/12/16 19:14:20.921188966,1734344060,921002739,,53,4096
2024/12/16 19:14:23.201127363,1734344063,201023095,,115,4096
2024/12/16 19:14:23.561193218,1734344063,561072435,,55,4096
2024/12/16 19:14:37.761737478,1734344077,761518678,,119,4096
2024/12/16 19:14:38.861734237,1734344078,861557085,,56,4096
2024/12/16 19:14:49.401943760,1734344089,401781576,,119,4096
2024/12/16 19:14:50.361820173,1734344090,361685947,,115,4096
2024/12/16 19:14:51.201866953,1734344091,201697583,,55,4096
2024/12/16 19:14:54.562023991,1734344094,561838521,,119,4096
2024/12/16 19:14:59.802077037,1734344099,801911984,,119,4096
2024/12/16 19:15:01.822133147,1734344101,822044931,,119,4096
2024/12/16 19:15:02.522059512,1734344102,521971769,,119,4096
2024/12/16 19:16:08.823883472,1734344168,823727337,,27,4096
2024/12/16 19:16:09.483747517,1734344169,483608425,,106,4096
2024/12/16 19:16:09.923899648,1734344169,923718716,,57,4096
2024/12/16 19:16:12.223767579,1734344172,223680018,,119,4096
2024/12/16 19:16:12.843888880,1734344172,843807823,,119,4096
2024/12/16 19:16:13.483923682,1734344173,483756312,,13,4096
2024/12/16 19:16:14.723878815,1734344174,723790038,,57,4096
2024/12/16 19:16:17.623917060,1734344177,623821748,,119,4096
2024/12/16 19:16:20.283910584,1734344180,283877885,,13,4096
2024/12/16 19:16:20.464027198,1734344180,463924784,,13,4096
2024/12/16 19:16:20.644022816,1734344180,643934350,,13,4096
2024/12/16 19:16:21.104087176,1734344181,103997672,,27,4096
2024/12/16 19:16:21.264102363,1734344181,264015993,,106,4096
2024/12/16 19:16:25.184208817,1734344185,184114983,,57,4096
2024/12/16 19:16:33.504394570,1734344193,504270063,,119,4096
2024/12/16 19:16:34.684406827,1734344194,684268402,,13,4096
2024/12/16 19:16:34.864253858,1734344194,864223062,,13,4096
2024/12/16 19:16:35.44330715,1734344195,44221630,,13,4096
2024/12/16 19:16:35.444537761,1734344195,444365124,,27,4096
2024/12/16 19:16:35.964427296,1734344195,964259333,,49,4096
2024/12/16 19:16:38.24429922,1734344198,24300502,,115,4096
2024/12/16 19:16:38.584550597,1734344198,584430309,,49,4096
2024/12/16 19:16:39.364525121,1734344199,364378528,,115,4096
2024/12/16 19:16:39.804621507,1734344199,804532071,,115,4096
2024/12/16 19:16:40.324696246,1734344200,324537995,,13,4096
2024/12/16 19:16:43.364631132,1734344203,364439883,,115,4096
2024/12/16 19:16:44.24716472,1734344204,24607897,,13,4096
2024/12/16 19:16:44.484617913,1734344204,484541669,,27,4096
2024/12/16 19:16:44.664724879,1734344204,664640563,,27,4096
2024/12/16 19:16:45.444589713,1734344205,444436409,,106,4096
2024/12/16 19:16:45.744727982,1734344205,744565456,,49,4096
2024/12/16 19:16:46.4848352,1734344206,4687995,,115,4096
2024/12/16 19:16:46.264740591,1734344206,264592384,,115,4096
2024/12/16 19:16:53.304859315,1734344213,304797844,,115,4096
2024/12/16 19:16:53.964789675,1734344213,964751337,,13,4096
2024/12/16 19:16:56.884923150,1734344216,884827066,,115,4096
2024/12/16 19:16:57.524941190,1734344217,524821941,,13,4096
2024/12/16 19:18:40.867399934,1734344320,867239437,,27,4096
2024/12/16 19:18:47.150035967,1734344327,149935137,,55,4096
2024/12/16 19:18:48.347562925,1734344328,347525725,,119,4096
2024/12/16 19:18:49.407689912,1734344329,407593427,,115,4096
2024/12/16 19:18:50.107738608,1734344330,107589372,,27,4096
2024/12/16 19:18:50.547586964,1734344330,547548692,,106,4096
2024/12/16 19:18:50.887666887,1734344330,887566822,,55,4096
2024/12/16 19:18:51.527712628,1734344331,527590552,,119,4096
2024/12/16 19:18:53.67671060,1734344333,67580025,,115,4096
2024/12/16 19:18:54.27747640,1734344334,27621532,,115,4096
2024/12/16 19:18:55.47705510,1734344335,47597777,,115,4096
2024/12/16 19:18:56.187661994,1734344336,187574155,,115,4096
2024/12/16 19:18:56.867702500,1734344336,867664304,,115,4096
2024/12/16 19:18:58.67832874,1734344338,67698260,,115,4096
2024/12/16 19:18:58.907753848,1734344338,907625236,,115,4096
2024/12/16 19:19:00.387781647,1734344340,387673741,,115,4096
2024/12/16 19:19:00.887726432,1734344340,887572773,,115,4096
2024/12/16 19:19:01.747862803,1734344341,747692376,,115,4096
2024/12/16 19:19:14.467950753,1734344354,467858488,,115,4096
2024/12/16 19:19:16.388157330,1734344356,388008499,,115,4096
2024/12/16 19:19:17.427948075,1734344357,427871015,,119,4096
2024/12/16 19:19:19.8161989,1734344359,8012525,,115,4096
2024/12/16 19:19:19.48183456,1734344359,48030341,,115,4096
2024/12/16 19:19:19.908222732,1734344359,908094430,,115,4096
2024/12/16 19:19:21.408129814,1734344361,408024920,,115,4096
2024/12/16 19:19:22.208053833,1734344362,207942227,,115,4096
2024/12/16 19:19:23.928287600,1734344363,928148460,,115,4096
2024/12/16 19:19:42.248502387,1734344382,248346219,,55,4096
2024/12/16 19:19:44.8574629,1734344384,8393448,,115,4096
2024/12/16 19:19:45.468594757,1734344385,468370498,,115,4096
2024/12/16 19:19:46.348556685,1734344386,348435200,,115,4096
2024/12/16 19:19:47.228635309,1734344387,228437187,,115,4096
2024/12/16 19:19:49.268687114,1734344389,268543572,,119,4096
2024/12/16 19:19:51.153160441,1734344391,152982139,,119,4096
2024/12/16 19:19:53.548790054,1734344393,548561610,,115,4096
2024/12/16 19:19:54.848919997,1734344394,848693269,,115,4096
2024/12/16 19:19:55.728908349,1734344395,728695460,,115,4096
2024/12/16 19:19:55.968919476,1734344395,968730127,,115,4096
2024/12/16 19:19:56.968808412,1734344396,968612907,,115,4096
2024/12/16 19:19:57.828745909,1734344397,828623929,,115,4096
