time,header_stamp_secs,header_stamp_nsecs,header_frame_id,code,modifiers
2024/12/19 18:45:39.457895654,1734601539,457767535,,27,4096
2024/12/19 18:49:34.784144843,1734601774,784040603,,27,4096
2024/12/19 18:49:36.544261183,1734601776,544143459,,106,4096
2024/12/19 18:49:37.224369708,1734601777,224232331,,53,4096
2024/12/19 18:49:38.184174571,1734601778,184131197,,115,4096
2024/12/19 18:49:40.204281758,1734601780,204250696,,115,4096
2024/12/19 18:49:44.864462170,1734601784,864426700,,51,4096
2024/12/19 18:49:45.64464674,1734601785,64436483,,119,4096
2024/12/19 18:49:52.144544802,1734601792,144509904,,115,4096
2024/12/19 18:49:55.444700360,1734601795,444595263,,55,4096
2024/12/19 18:49:56.184818968,1734601796,184622320,,119,4096
2024/12/19 18:49:56.744698311,1734601796,744672269,,119,4096
2024/12/19 18:50:05.345118159,1734601805,344988115,,56,4096
2024/12/19 18:50:05.925126520,1734601805,925076002,,119,4096
2024/12/19 18:50:18.5383728,1734601818,5271055,,115,4096
2024/12/19 18:50:18.685426376,1734601818,685336345,,53,4096
2024/12/19 18:50:19.85513848,1734601819,85346291,,115,4096
2024/12/19 18:50:19.665510962,1734601819,665319054,,119,4096
2024/12/19 18:50:22.445455450,1734601822,445327165,,55,4096
2024/12/19 18:50:22.605487637,1734601822,605368523,,119,4096
2024/12/19 18:50:29.765549241,1734601829,765515119,,57,4096
2024/12/19 18:50:30.285674432,1734601830,285563065,,115,4096
2024/12/19 18:50:33.445777743,1734601833,445665668,,115,4096
2024/12/19 18:50:37.945926443,1734601837,945817743,,115,4096
2024/12/19 18:50:40.325908369,1734601840,325802671,,48,4096
2024/12/19 18:50:50.466128929,1734601850,466073771,,27,4096
2024/12/19 18:51:40.467593162,1734601900,467486505,,27,4096
2024/12/19 18:51:41.307489516,1734601901,307449907,,106,4096
2024/12/19 18:51:41.687681561,1734601901,687575253,,57,4096
2024/12/19 18:51:43.727618982,1734601903,727509426,,115,4096
2024/12/19 18:51:46.127578117,1734601906,127539917,,13,4096
2024/12/19 18:53:15.210151092,1734601995,210110221,,27,4096
2024/12/19 18:53:15.470090610,1734601995,469972190,,27,4096
2024/12/19 18:53:16.530044019,1734601996,530003862,,106,4096
2024/12/19 18:53:17.10154814,1734601997,10058395,,57,4096
2024/12/19 18:53:17.210049472,1734601997,210019243,,119,4096
2024/12/19 18:53:26.690390366,1734602006,690275565,,13,4096
2024/12/19 18:53:27.350450516,1734602007,350407290,,27,4096
2024/12/19 18:53:27.950608551,1734602007,950471069,,49,4096
2024/12/19 18:53:29.870651724,1734602009,870468618,,49,4096
2024/12/19 18:53:30.910542463,1734602010,910387867,,115,4096
2024/12/19 18:53:31.930723068,1734602011,930552048,,27,4096
2024/12/19 18:53:32.410615547,1734602012,410528446,,106,4096
2024/12/19 18:53:32.830483430,1734602012,830442744,,49,4096
2024/12/19 18:53:33.90464628,1734602013,90438617,,115,4096
2024/12/19 18:53:40.590739841,1734602020,590697845,,27,4096
2024/12/19 18:53:41.550854677,1734602021,550675639,,13,4096
2024/12/19 18:53:41.690849173,1734602021,690681994,,13,4096
2024/12/19 18:53:45.450909025,1734602025,450864495,,27,4096
2024/12/19 18:53:46.131684637,1734602026,131524903,,27,4096
2024/12/19 18:53:46.570948631,1734602026,570819449,,106,4096
2024/12/19 18:53:46.771112790,1734602026,770938545,,53,4096
2024/12/19 18:53:49.411157371,1734602029,411023827,,27,4096
