time,header_stamp_secs,header_stamp_nsecs,header_frame_id,code,modifiers
2024/12/19 18:45:39.537921930,1734601539,537752385,,27,4096
2024/12/19 18:49:34.884249821,1734601774,884108803,,27,4096
2024/12/19 18:49:36.624358898,1734601776,624215390,,106,4096
2024/12/19 18:49:37.384287890,1734601777,384183540,,53,4096
2024/12/19 18:49:40.124333494,1734601780,124293896,,115,4096
2024/12/19 18:49:43.704525560,1734601783,704405278,,115,4096
2024/12/19 18:49:44.984473460,1734601784,984443249,,51,4096
2024/12/19 18:49:51.904667493,1734601791,904629674,,119,4096
2024/12/19 18:49:52.184538287,1734601792,184506328,,115,4096
2024/12/19 18:49:55.524624652,1734601795,524593652,,55,4096
2024/12/19 18:49:56.364800081,1734601796,364630672,,119,4096
2024/12/19 18:50:05.145173664,1734601805,145066352,,119,4096
2024/12/19 18:50:05.545020740,1734601805,544991907,,56,4096
2024/12/19 18:50:17.205290928,1734601817,205180278,,119,4096
2024/12/19 18:50:18.265388252,1734601818,265291951,,115,4096
2024/12/19 18:50:18.905547965,1734601818,905388437,,53,4096
2024/12/19 18:50:19.385478112,1734601819,385372592,,115,4096
2024/12/19 18:50:22.285351313,1734601822,285314440,,119,4096
2024/12/19 18:50:22.585486663,1734601822,585366843,,55,4096
2024/12/19 18:50:29.605634208,1734601829,605512462,,119,4096
2024/12/19 18:50:29.885618474,1734601829,885568289,,57,4096
2024/12/19 18:50:33.325797030,1734601833,325690051,,115,4096
2024/12/19 18:50:37.785762793,1734601837,785735372,,115,4096
2024/12/19 18:50:38.905786730,1734601838,905758143,,115,4096
2024/12/19 18:50:40.445919814,1734601840,445799187,,48,4096
2024/12/19 18:50:50.606150946,1734601850,606070483,,27,4096
2024/12/19 18:51:40.647604188,1734601900,647476048,,27,4096
2024/12/19 18:51:41.387482919,1734601901,387441745,,106,4096
2024/12/19 18:51:41.747688013,1734601901,747551626,,57,4096
2024/12/19 18:51:44.887582655,1734601904,887549900,,115,4096
2024/12/19 18:51:46.207565636,1734601906,207537271,,13,4096
2024/12/19 18:53:15.290088618,1734601995,290060073,,27,4096
2024/12/19 18:53:15.570272075,1734601995,570109708,,27,4096
2024/12/19 18:53:16.630138996,1734601996,630093221,,106,4096
2024/12/19 18:53:17.70053722,1734601997,70017889,,57,4096
2024/12/19 18:53:25.610274938,1734602005,610245004,,119,4096
2024/12/19 18:53:26.750484160,1734602006,750386634,,13,4096
2024/12/19 18:53:27.490574695,1734602007,490473089,,27,4096
2024/12/19 18:53:28.30633103,1734602008,30448998,,49,4096
2024/12/19 18:53:29.970456232,1734602009,970358575,,49,4096
2024/12/19 18:53:31.670487799,1734602011,670458806,,115,4096
2024/12/19 18:53:32.70699059,1734602012,70599407,,27,4096
2024/12/19 18:53:32.510585913,1734602012,510490506,,106,4096
2024/12/19 18:53:32.970470301,1734602012,970441847,,49,4096
2024/12/19 18:53:39.970721331,1734602019,970637537,,115,4096
2024/12/19 18:53:40.750685059,1734602020,750651803,,27,4096
2024/12/19 18:53:41.610843083,1734602021,610678675,,13,4096
2024/12/19 18:53:41.770832501,1734602021,770674214,,13,4096
2024/12/19 18:53:45.650874016,1734602025,650790701,,27,4096
2024/12/19 18:53:46.250967294,1734602026,250803327,,27,4096
2024/12/19 18:53:46.670997657,1734602026,670851725,,106,4096
2024/12/19 18:53:46.911052346,1734602026,910931549,,53,4096
2024/12/19 18:53:49.511098755,1734602029,510936522,,27,4096
