time,header_stamp_secs,header_stamp_nsecs,header_frame_id,code,modifiers
2024/12/16 14:48:48.622592018,1734328128,622399900,,27,4096
2024/12/16 14:48:49.582550293,1734328129,582408724,,27,4096
2024/12/16 14:48:54.162812303,1734328134,162612074,,13,4096
2024/12/16 14:49:03.562953131,1734328143,562845894,,105,4096
2024/12/16 14:49:45.524038912,1734328185,523905042,,27,4096
2024/12/16 14:49:48.304051758,1734328188,303919631,,27,4096
2024/12/16 14:49:49.104143460,1734328189,104028481,,106,4096
2024/12/16 14:49:51.464211428,1734328191,464105617,,49,4096
2024/12/16 14:49:51.884197021,1734328191,884092288,,119,4096
2024/12/16 14:50:00.184240474,1734328200,184181174,,13,4096
2024/12/16 14:50:02.144394863,1734328202,144282292,,57,4096
2024/12/16 14:50:04.104503327,1734328204,104432427,,115,4096
2024/12/16 14:50:15.744688477,1734328215,744631363,,13,4096
2024/12/16 14:50:15.964816367,1734328215,964649619,,13,4096
2024/12/16 14:51:17.286451341,1734328277,286317803,,27,4096
2024/12/16 14:51:17.506432764,1734328277,506331475,,27,4096
