time,header_stamp_secs,header_stamp_nsecs,header_frame_id,code,modifiers
2024/12/16 14:48:48.762500926,1734328128,762397056,,27,4096
2024/12/16 14:48:49.822539095,1734328129,822429579,,27,4096
2024/12/16 14:48:54.362735578,1734328134,362544102,,13,4096
2024/12/16 14:49:23.503399458,1734328163,503297700,,105,4096
2024/12/16 14:49:45.643933800,1734328185,643826162,,27,4096
2024/12/16 14:49:48.384026110,1734328188,383979064,,27,4096
2024/12/16 14:49:49.204132325,1734328189,204023475,,106,4096
2024/12/16 14:49:51.584159510,1734328191,584066062,,49,4096
2024/12/16 14:49:59.444256494,1734328199,444153028,,119,4096
2024/12/16 14:50:00.284201290,1734328200,284160618,,13,4096
2024/12/16 14:50:02.224392983,1734328202,224337334,,57,4096
2024/12/16 14:50:14.444880289,1734328214,444712439,,115,4096
2024/12/16 14:50:15.844809513,1734328215,844653772,,13,4096
2024/12/16 14:50:16.44816482,1734328216,44707949,,13,4096
2024/12/16 14:51:17.406401023,1734328277,406314982,,27,4096
2024/12/16 14:51:17.566387593,1734328277,566346424,,27,4096
